COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,1,42,8,0,9118.724750000001,61.61375,20336607232
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,2,1,8,41,132.974375,61.454375,20332937216
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,3,1,8,41,131.800375,61.319375,20335165440
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,4,1,8,41,132.667625,61.860625,20339097600
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,5,1,8,41,132.281625,61.576625,20341587968
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,6,1,8,41,171.4095,61.8795,20345126912
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,7,1,8,41,132.77125,61.13625,20345716736
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,8,1,8,41,139.845875,61.341875,20345389056
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,9,1,8,41,132.031,61.256,20345192448
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,10,1,8,41,172.790125,62.726125,20344406016
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,1,54,577,0,8890.578251299827,74.9932512998267,20364722176
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,2,1,527,53,146.92728462998102,74.21328462998102,20455358464
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,3,1,527,53,147.3397229601518,74.5147229601518,20529086464
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,4,1,527,53,146.87708538899432,74.05708538899431,20532887552
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,5,1,527,53,150.05407400379505,75.72707400379507,20535640064
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,6,1,527,53,148.01249335863378,74.21249335863376,20538458112
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,7,1,527,53,147.089944971537,74.426944971537,20542652416
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,8,1,527,53,151.17732447817838,74.25332447817837,20540293120
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,9,1,527,53,147.40664705882352,74.34864705882353,20546060288
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,10,1,527,53,147.2225825426945,74.3535825426945,20550123520
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,1,178,381,0,11146.590136482939,74.81513648293964,20446117888
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,2,1,431,177,175.9494176334107,75.09841763341068,20511653888
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,3,1,431,177,153.07554988399073,77.69354988399071,20593180672
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,4,1,431,177,150.40104640371231,75.2810464037123,20600782848
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,5,1,431,177,150.84139907192576,75.09139907192575,20602290176
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,6,1,431,177,149.61293503480277,75.21193503480279,20596260864
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,7,1,431,177,191.67978422273782,75.43078422273783,20601896960
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,8,1,431,177,150.4918120649652,75.0718120649652,20598489088
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,9,1,431,177,159.95475406032483,75.22175406032483,20601176064
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,10,1,431,177,150.678060324826,74.96606032482599,20598030336
