COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,THREADS,NUMA,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,44,distribute,1,42,8,0,7216.5825,64.3945,25433014272
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,44,distribute,2,1,8,41,137.128875,63.840875,25422987264
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,44,distribute,3,1,8,41,145.813125,63.396125,25448415232
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,44,distribute,4,1,8,41,136.417375,63.351375,25452019712
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,44,distribute,5,1,8,41,136.912,63.242,25455296512
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,44,distribute,6,1,8,41,136.40225,63.46125,25459425280
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,44,distribute,1,54,709,0,7747.0105543018335,77.29955430183357,25445400576
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,44,distribute,2,1,935,53,154.19617860962566,78.61117860962567,25564545024
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,44,distribute,3,1,935,53,168.39942245989306,78.50542245989305,25678839808
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,44,distribute,4,1,935,53,154.04357860962565,78.39557860962566,25683034112
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,44,distribute,5,1,935,53,153.46601497326205,78.46501497326204,25680412672
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,44,distribute,6,1,935,53,153.6852010695187,78.43320106951872,25692667904
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,44,distribute,1,178,422,0,10268.173774881516,78.0137748815166,25524633600
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,44,distribute,2,1,446,177,154.61441479820627,77.60741479820628,25603342336
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,44,distribute,3,1,446,177,154.7186479820628,77.59664798206279,25685524480
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,44,distribute,4,1,446,177,154.0799349775785,77.54393497757847,25692995584
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,44,distribute,5,1,446,177,154.399466367713,77.543466367713,25694961664
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,44,distribute,6,1,446,177,154.34374215246638,77.66974215246637,25698107392
