COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,THREADS,NUMA,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,36,distribute,1,16,31,0,562.0284516129032,52.443451612903225,8245477376
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,36,distribute,2,16,31,0,558.5853225806452,52.35432258064516,8275492864
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,36,distribute,3,16,31,0,558.4025806451613,52.36658064516129,8284405760
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,36,distribute,4,16,31,0,558.5258064516129,52.3638064516129,8289189888
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,36,distribute,5,16,31,0,559.0777096774194,52.340709677419355,8292073472
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,36,distribute,6,16,31,0,558.3852258064516,52.36522580645161,8290107392
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,36,distribute,1,27,951,0,881.9450956887487,56.31309568874869,8281849856
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,36,distribute,2,27,951,0,878.1069211356466,56.299921135646684,8424062976
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,36,distribute,3,27,951,0,878.2954426919032,56.34144269190326,8432320512
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,36,distribute,4,27,951,0,877.7119978969506,56.24499789695058,8431468544
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,36,distribute,5,27,951,0,877.715865404837,56.24586540483701,8431337472
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,36,distribute,6,27,951,0,877.483738170347,56.245738170347,8446345216
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,36,distribute,1,154,650,0,3813.029049230769,56.96204923076923,8571518976
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,36,distribute,2,5,609,149,258.42147947454845,56.85347947454844,8701607936
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,36,distribute,3,5,609,149,258.76067651888343,56.851676518883416,8841527296
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,36,distribute,4,5,609,149,258.4051789819376,56.8471789819376,8827437056
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,36,distribute,5,5,609,149,258.36422003284076,56.850220032840724,8822718464
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,36,distribute,6,5,609,149,258.37475205254515,56.84875205254515,8820555776
