COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,small,1,42,8,0,9354.130875,64.038875,24330698752
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,small,2,1,8,41,138.015,63.941,24413732864
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,small,3,1,8,41,254.3385,88.4975,24345903104
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,small,4,1,8,41,180.47375,63.75375,24350425088
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,small,5,1,8,41,137.315625,63.549625,24352915456
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,small,6,1,8,41,153.347875,63.614875,24354422784
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,small,7,1,8,41,136.726625,63.658625,24351014912
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,small,8,1,8,41,136.36837500000001,63.490375,24355864576
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,small,9,1,8,41,136.7405,63.4445,24356716544
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,small,10,1,8,41,141.55925000000002,63.62325,24358486016
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,medium,1,54,669,0,10058.950775784753,79.21277578475336,24356782080
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,medium,2,1,518,53,225.0683030888031,77.3463030888031,24457379840
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,medium,3,1,539,53,154.19447124304267,77.42047124304267,24535826432
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,medium,4,1,661,53,159.99623298033282,78.13323298033283,24618729472
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,medium,5,35,601,19,9345.350129783694,77.45412978369384,24725094400
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,medium,6,1,658,53,153.8641170212766,77.45511702127659,24808325120
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,medium,7,1,648,53,198.11765586419753,78.69665586419752,24901189632
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,medium,8,1,451,53,230.2490465631929,76.3340465631929,24992940032
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,medium,9,1,802,53,154.54884663341647,78.50184663341646,25057165312
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,medium,10,1,596,53,153.9135989932886,77.14959899328859,25179062272
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,large,1,178,316,0,12180.363344936708,77.51734493670887,24431558656
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,large,2,1,284,177,156.29434507042254,77.39934507042254,24500895744
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,large,3,1,418,177,168.89182535885166,77.94982535885167,24561844224
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,large,4,1,464,177,158.21782112068965,79.83382112068965,24645271552
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,large,5,1,485,177,259.5580824742268,78.97808247422681,24725028864
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,large,6,1,531,177,158.38138418079097,78.73238418079096,24807997440
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,large,7,1,376,177,156.62607180851063,78.04407180851064,24902369280
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,large,8,1,416,177,157.47581971153846,78.54581971153847,24976031744
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,large,9,1,439,177,157.64673576309795,78.48973576309795,25058672640
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q3_K_M,dynamic,large,10,1,555,177,158.29778198198198,78.91078198198197,25138495488
