COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,1,42,8,0,8802.804999999998,64.326,25078792192
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,2,1,8,41,167.41174999999998,63.09375,25076367360
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,3,1,8,41,142.837625,63.652625,25070010368
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,4,1,8,41,136.20425,63.37625,25073680384
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,5,1,8,41,136.999375,63.536375,25072697344
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,6,1,8,41,136.460625,63.356625,25075974144
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,7,1,8,41,139.21725,63.40225,25082724352
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,8,1,8,41,144.6955,72.0155,25078726656
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,9,1,8,41,136.409375,63.849375,25088688128
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,10,1,8,41,136.813,63.737,25085607936
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,1,54,528,0,9873.403960227271,74.72796022727272,25109856256
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,2,1,539,53,148.6512615955473,74.87126159554731,25200427008
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,3,1,539,53,151.33756586270874,76.77656586270872,25289097216
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,4,1,539,53,185.70002226345085,74.95802226345084,25294864384
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,5,1,539,53,149.6699517625232,75.5729517625232,25295126528
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,6,1,539,53,198.57859925788497,75.18059925788498,25312034816
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,7,1,539,53,150.23303896103897,75.12003896103896,25300893696
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,8,1,539,53,148.80253432282,74.73853432282003,25304694784
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,9,1,539,53,216.0357977736549,74.6487977736549,25312690176
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,10,1,539,53,192.98580890538034,77.10580890538034,25310265344
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,1,178,474,0,12959.570008438819,76.32600843881856,25202065408
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,2,1,463,177,152.9405766738661,76.3885766738661,25294143488
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,3,1,463,177,152.6827494600432,76.4507494600432,25365905408
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,4,1,463,177,154.99235637149027,76.42535637149028,25371869184
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,5,1,463,177,176.85934341252698,76.356343412527,25367412736
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,6,1,463,177,155.97820734341252,77.83720734341253,25372524544
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,7,1,463,177,155.1826069114471,76.3906069114471,25375014912
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,8,1,463,177,155.053120950324,78.68312095032398,25371475968
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,9,1,463,177,152.64259827213823,76.62859827213822,25376063488
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,10,1,463,177,151.91948380129588,76.3364838012959,25379274752
