COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,1,42,8,0,7819.640625,71.004625,28753068032
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,2,1,8,41,168.87400000000002,69.644,28758900736
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,3,1,8,41,150.200875,69.847875,28761587712
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,4,1,8,41,150.215125,69.640125,28760080384
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,5,1,8,41,150.642875,69.751875,28762505216
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,6,1,8,41,158.537625,78.440625,28765388800
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,7,1,8,41,149.84562499999998,69.807625,28772466688
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,8,1,8,41,150.07100000000003,69.647,28772925440
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,9,1,8,41,149.96212500000001,69.802125,28771418112
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,10,1,8,41,168.4845,69.9245,28764340224
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,1,54,506,0,7869.820403162055,83.65840316205534,28797632512
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,2,1,553,53,167.93377034358048,84.99577034358047,28882436096
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,3,1,547,53,173.98087385740402,84.17687385740402,28957278208
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,4,1,537,53,188.33550837988827,83.74950837988827,29030875136
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,5,1,506,53,187.47236956521738,83.58336956521738,29123477504
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,6,1,521,53,166.50130134357005,83.73430134357007,29195239424
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,7,1,582,53,228.65086941580756,84.00086941580756,29244260352
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,8,1,626,53,178.84682108626197,84.31382108626198,29323493376
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,9,1,678,53,168.55267404129793,85.52767404129793,29416947712
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,10,1,666,53,168.264521021021,84.37752102102101,29512892416
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,1,178,408,0,9943.81886764706,86.61986764705883,28886106112
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,2,1,539,177,174.3748961038961,86.9088961038961,28950659072
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,3,1,513,177,174.65235477582848,86.88035477582847,29040181248
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,4,1,386,177,173.18315803108808,86.41615803108809,29134815232
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,5,1,395,177,174.49326329113924,88.50826329113924,29210181632
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,6,1,422,177,172.86779146919432,86.51179146919432,29283909632
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,7,1,410,177,326.67672926829266,86.69072926829269,29351411712
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,8,1,423,177,172.83947754137114,86.26947754137116,29429071872
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,9,1,521,177,239.00470825335893,87.31870825335892,29497753600
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,10,1,483,177,173.92915320910976,86.63115320910974,29589766144
