COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,1,42,8,0,7733.151999999999,70.73,28738453504
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,2,1,8,41,151.89100000000002,70.262,28720037888
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,3,1,8,41,151.35875,70.59475,28720758784
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,4,1,8,41,168.961375,71.411375,28726657024
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,5,1,8,41,152.451875,70.364875,28718071808
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,6,1,8,41,151.713125,70.373125,28721545216
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,7,1,8,41,151.20675,70.40075,28724494336
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,8,1,8,41,151.0105,70.5605,28725215232
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,9,1,8,41,151.14,70.428,28723642368
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,10,1,8,41,151.65325,70.36525,28728492032
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,1,54,586,0,9015.806675767919,79.5006757679181,28715646976
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,2,1,581,53,159.4019655765921,80.76696557659209,28806873088
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,3,1,581,53,157.99889156626506,79.22889156626506,28903538688
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,4,1,581,53,158.25772977624786,79.29072977624784,28896919552
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,5,1,581,53,157.3700981067126,79.32409810671257,28904652800
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,6,1,581,53,157.4727900172117,79.3167900172117,28910616576
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,7,1,581,53,178.17060413080895,79.19660413080895,28905570304
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,8,1,581,53,157.5085404475043,79.2985404475043,28911730688
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,9,1,581,53,160.17679690189328,80.93079690189329,28917104640
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,10,1,581,53,157.98270223752152,79.44870223752152,28914352128
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,1,178,610,0,10122.982975409835,86.03197540983606,28843966464
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,2,1,467,177,170.887147751606,85.319147751606,28943384576
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,3,1,467,177,170.42547537473234,85.69947537473233,29018357760
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,4,1,467,177,176.01100428265525,85.51400428265525,29014949888
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,5,1,467,177,172.77088436830837,87.13688436830836,29018292224
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,6,1,467,177,178.40869164882227,85.36369164882227,29020717056
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,7,1,467,177,247.82731905781583,85.65631905781584,29020913664
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,8,1,467,177,170.77702569593148,85.53302569593149,29021110272
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,9,1,467,177,185.41660813704496,85.62660813704495,29032382464
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,10,1,467,177,171.40632119914346,85.61632119914347,29029302272
