COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,small,1,37,67,0,2063.0464626865673,8.865462686567165,2901475328
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,small,2,1,91,36,17.929593406593405,8.955593406593406,2889547776
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,small,3,1,91,36,32.63526373626374,9.915263736263736,2887647232
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,small,4,1,91,36,18.70597802197802,9.720978021978022,2888630272
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,small,5,1,91,36,30.725164835164836,8.977164835164835,2893611008
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,small,6,1,91,36,17.895142857142858,8.808142857142858,2898198528
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,small,7,1,91,36,17.835032967032966,8.812032967032966,2897936384
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,small,8,1,91,36,22.920582417582416,8.816582417582417,2899836928
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,small,9,1,91,36,17.77868131868132,8.794681318681318,2898198528
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,small,10,1,91,36,17.841604395604396,8.803604395604395,2898329600
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,medium,1,48,332,0,2066.839343373494,9.939343373493976,2913730560
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,medium,2,1,528,47,21.303479166666666,10.097479166666666,2912616448
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,medium,3,1,528,47,21.186223484848483,9.960223484848484,2922053632
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,medium,4,1,528,47,21.428670454545454,10.312670454545454,2921463808
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,medium,5,1,528,47,34.158479166666666,10.072479166666668,2926051328
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,medium,6,1,528,47,21.09131628787879,9.950316287878788,2924740608
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,medium,7,1,528,47,34.66490151515151,10.174901515151515,2929786880
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,medium,8,1,528,47,21.137130681818185,9.955130681818183,2928017408
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,medium,9,1,528,47,21.263526515151515,9.955526515151515,2928934912
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,medium,10,1,528,47,23.50302462121212,10.318024621212121,2931621888
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,large,1,178,476,0,2363.507195378151,8.90219537815126,2928738304
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,large,2,1,453,177,20.276894039735097,9.049894039735099,2941911040
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,large,3,1,453,177,20.118048565121413,8.919048565121413,2954821632
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,large,4,1,453,177,20.745768211920527,8.90776821192053,2955149312
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,large,5,1,453,177,32.31707947019868,8.973079470198675,2956460032
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,large,6,1,453,177,20.370101545253863,9.072101545253863,2959409152
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,large,7,1,453,177,20.01555408388521,8.88655408388521,2960588800
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,large,8,1,453,177,20.106075055187638,8.978075055187638,2961637376
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,large,9,1,453,177,20.195280353200882,9.114280353200883,2959409152
build-clang-blis,SmolLM2-135M-Instruct,Q3_K_M,static,large,10,1,453,177,51.856136865342165,9.656136865342162,2956263424
