COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,1,37,8,0,1768.0107500000001,7.25575,2948464640
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,2,1,19,36,15.643947368421054,7.622947368421054,2930769920
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,3,1,36,36,15.94738888888889,7.868388888888889,2902654976
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,4,1,84,36,16.626785714285713,8.120785714285713,2903638016
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,5,1,8,36,15.307,6.994,2905014272
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,6,1,51,36,16.161450980392157,7.963450980392158,2906259456
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,7,1,66,36,16.223772727272728,8.025772727272727,2901999616
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,8,1,8,36,15.066625,6.926625,2907570176
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,9,1,49,36,51.34663265306122,11.358632653061225,2914385920
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,10,1,94,36,16.574382978723406,8.677382978723404,2923560960
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,1,48,586,0,2266.6106194539248,8.862619453924914,2935554048
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,2,1,387,47,32.08237984496124,8.90637984496124,2940731392
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,3,1,460,47,30.198204347826085,9.103204347826088,2948071424
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,4,1,400,47,19.118315,8.791314999999999,2953969664
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,5,1,535,47,18.859332710280373,8.848332710280374,2962948096
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,6,1,445,47,19.0638202247191,8.9678202247191,2977497088
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,7,1,429,47,18.950104895104896,8.791104895104896,2992570368
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,8,1,495,47,19.04099797979798,8.89899797979798,3003056128
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,9,1,458,47,19.478810043668123,8.940810043668122,3013083136
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,10,1,312,47,19.10940705128205,9.05940705128205,3027304448
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,1,178,513,0,2067.8136296296298,8.90262962962963,2939158528
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,2,1,452,177,31.463369469026546,9.138369469026548,2947481600
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,3,1,345,177,20.526257971014495,9.425257971014492,2961047552
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,4,1,325,177,19.91284,8.877839999999999,2970877952
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,5,1,459,177,19.967244008714594,8.931244008714597,2980904960
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,6,1,407,177,20.062159705159708,8.925159705159706,2996174848
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,7,1,427,177,20.268573770491802,9.065573770491802,3018063872
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,8,1,712,177,20.368821629213485,9.071821629213483,3031105536
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,9,1,499,177,20.950681362725454,8.945681362725452,3053518848
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,10,1,528,177,20.62585037878788,9.30785037878788,3068657664
