COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,small,1,37,8,0,1670.2996249999999,7.432625,2937454592
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,small,2,1,8,36,15.304499999999999,7.1175,2918383616
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,small,3,1,8,36,15.19925,7.00425,2887188480
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,small,4,1,8,36,22.398625,7.093625,2879520768
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,small,5,1,8,36,15.090125,7.035125,2890989568
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,small,6,1,8,36,15.243500000000001,7.0775,2889154560
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,small,7,1,8,36,16.077875,7.136875,2896363520
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,small,8,1,8,36,37.392875000000004,17.548875,2900623360
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,small,9,1,8,36,38.1485,17.4475,2901671936
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,small,10,1,8,36,15.244125,7.018125,2901016576
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,1,48,437,0,1829.7150297482838,9.068029748283752,2917859328
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,2,1,488,47,19.596301229508196,9.117301229508197,2913468416
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,3,1,488,47,19.51039344262295,9.11539344262295,2919759872
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,4,1,488,47,19.52097131147541,9.25297131147541,2916810752
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,5,1,488,47,19.57930737704918,9.09730737704918,2917662720
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,6,1,488,47,19.590731557377048,9.100731557377049,2918187008
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,7,1,488,47,19.614073770491803,9.242073770491803,2920546304
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,8,1,488,47,19.56984426229508,9.111844262295081,2920873984
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,9,1,488,47,23.004325819672133,9.10432581967213,2922315776
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,10,1,488,47,19.91219262295082,9.502192622950819,2923626496
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,large,1,178,303,0,2109.5080462046203,8.852046204620462,2926968832
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,large,2,1,360,177,19.863275,8.849275,2931556352
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,large,3,1,360,177,20.451102777777777,8.865102777777777,2943549440
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,large,4,1,360,177,20.128950000000003,8.975950000000001,2942435328
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,large,5,1,360,177,20.509974999999997,8.819975,2943025152
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,large,6,1,360,177,19.984855555555555,8.836855555555555,2943877120
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,large,7,1,360,177,20.017308333333332,8.850308333333333,2943025152
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,large,8,1,360,177,50.095863888888886,9.240863888888889,2945908736
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,large,9,1,360,177,19.956127777777777,8.827127777777777,2947416064
build-clang-blis,SmolLM2-135M-Instruct,Q8_0,static,large,10,1,360,177,19.969561111111112,8.868561111111111,2949185536
