COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,small,1,16,33,0,470.0437575757576,59.34975757575757,9953083392
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,small,2,16,40,0,279.824275,58.845275,9969926144
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,small,3,16,21,0,354.7028571428571,57.19785714285714,9985392640
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,small,4,16,21,0,288.0450952380952,57.37409523809524,9996926976
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,small,5,16,39,0,279.92184615384616,58.89884615384615,10003349504
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,small,6,16,21,0,278.26319047619046,57.44919047619047,10014818304
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,small,7,16,39,0,279.75164102564105,59.01964102564103,10015080448
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,small,8,16,22,0,278.5287272727273,57.802727272727275,10015997952
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,small,9,16,21,0,280.8824285714286,57.44742857142857,10024517632
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,small,10,16,21,0,278.7191904761905,57.41719047619048,10024648704
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,medium,1,27,1031,0,503.58652279340447,63.22452279340446,10003742720
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,medium,2,27,1030,0,386.8172233009709,64.30522330097088,10168631296
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,medium,3,27,1085,0,386.1819797235023,63.4739797235023,10318970880
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,medium,4,27,943,0,387.7722046659597,63.476204665959706,10490609664
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,medium,5,27,1024,0,389.87312402343747,63.8991240234375,10621157376
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,medium,6,27,1027,0,391.22763875365143,63.27863875365141,10766712832
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,medium,7,27,1026,0,386.4887085769981,64.06270857699806,10920853504
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,medium,8,27,1133,0,390.68047043248015,63.55347043248014,11072634880
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,medium,9,27,902,0,387.9081086474501,63.237108647450114,11231428608
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,medium,10,27,1060,0,386.47636698113206,63.42236698113208,11363155968
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,large,1,154,764,0,6958.566921465968,63.72892146596859,10366681088
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,large,2,5,718,149,206.64574651810585,62.94774651810585,10512891904
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,large,3,5,645,149,208.80837519379844,62.391375193798446,10650386432
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,large,4,5,477,149,215.2767106918239,62.0187106918239,10776477696
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,large,5,5,726,149,205.14591460055095,62.731914600550965,10886905856
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,large,6,5,620,149,205.80105,62.15205,11023679488
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,large,7,5,499,149,205.8152264529058,62.12622645290581,11153375232
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,large,8,5,733,149,206.86453069577078,62.9385306957708,11259805696
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,large,9,5,701,149,426.0578972895863,63.59689728958631,11404181504
build-clang-blis,gemma-3-it-4B,Q8_0,dynamic,large,10,5,628,149,206.310974522293,62.540974522293,11539382272
