COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,gemma-3-it-4B,Q8_0,static,small,1,16,33,0,592.5694545454546,61.09545454545455,9938796544
build-clang-blis,gemma-3-it-4B,Q8_0,static,small,2,16,33,0,276.3106666666667,58.06466666666667,9949872128
build-clang-blis,gemma-3-it-4B,Q8_0,static,small,3,16,33,0,275.50048484848486,58.02348484848485,9954328576
build-clang-blis,gemma-3-it-4B,Q8_0,static,small,4,16,33,0,276.3010606060606,58.034060606060606,9960816640
build-clang-blis,gemma-3-it-4B,Q8_0,static,small,5,16,33,0,279.94148484848483,58.027484848484846,9965010944
build-clang-blis,gemma-3-it-4B,Q8_0,static,small,6,16,33,0,276.2872727272727,58.06127272727272,9970384896
build-clang-blis,gemma-3-it-4B,Q8_0,static,small,7,16,33,0,277.19718181818183,58.189181818181815,9974775808
build-clang-blis,gemma-3-it-4B,Q8_0,static,small,8,16,33,0,278.9551818181818,59.784181818181814,9978773504
build-clang-blis,gemma-3-it-4B,Q8_0,static,small,9,16,33,0,276.7621515151515,58.09515151515152,9978511360
build-clang-blis,gemma-3-it-4B,Q8_0,static,small,10,16,33,0,276.51063636363637,58.16463636363636,9979953152
build-clang-blis,gemma-3-it-4B,Q8_0,static,medium,1,27,990,0,443.0699464646464,62.97994646464646,9978773504
build-clang-blis,gemma-3-it-4B,Q8_0,static,medium,2,27,990,0,387.9867737373737,64.21677373737374,10135666688
build-clang-blis,gemma-3-it-4B,Q8_0,static,medium,3,27,990,0,387.5007050505051,62.948705050505055,10134487040
build-clang-blis,gemma-3-it-4B,Q8_0,static,medium,4,27,990,0,388.0230303030303,62.967030303030306,10155327488
build-clang-blis,gemma-3-it-4B,Q8_0,static,medium,5,27,990,0,419.9967656565657,62.71876565656566,10148052992
build-clang-blis,gemma-3-it-4B,Q8_0,static,medium,6,27,990,0,389.3380626262626,62.51106262626262,10152509440
build-clang-blis,gemma-3-it-4B,Q8_0,static,medium,7,27,990,0,389.27308686868685,63.95508686868687,10156900352
build-clang-blis,gemma-3-it-4B,Q8_0,static,medium,8,27,990,0,386.99378686868687,62.967786868686865,10154934272
build-clang-blis,gemma-3-it-4B,Q8_0,static,medium,9,27,990,0,387.5184313131313,62.93443131313131,10172891136
build-clang-blis,gemma-3-it-4B,Q8_0,static,medium,10,27,990,0,387.8261252525253,62.83912525252525,10162667520
build-clang-blis,gemma-3-it-4B,Q8_0,static,large,1,154,509,0,6395.362628683693,62.548628683693515,10324213760
build-clang-blis,gemma-3-it-4B,Q8_0,static,large,2,5,606,149,207.32003135313533,64.16903135313531,10437328896
build-clang-blis,gemma-3-it-4B,Q8_0,static,large,3,5,606,149,205.5229785478548,62.57597854785478,10553655296
build-clang-blis,gemma-3-it-4B,Q8_0,static,large,4,5,606,149,204.6070115511551,62.59601155115511,10554048512
build-clang-blis,gemma-3-it-4B,Q8_0,static,large,5,5,606,149,204.13763366336636,62.29563366336634,10555752448
build-clang-blis,gemma-3-it-4B,Q8_0,static,large,6,5,606,149,204.9765825082508,62.68158250825082,10569383936
build-clang-blis,gemma-3-it-4B,Q8_0,static,large,7,5,606,149,229.6834125412541,62.25641254125412,10570956800
build-clang-blis,gemma-3-it-4B,Q8_0,static,large,8,5,606,149,205.59102640264027,62.20302640264026,10568925184
build-clang-blis,gemma-3-it-4B,Q8_0,static,large,9,5,606,149,220.56243564356436,62.328435643564355,10572070912
build-clang-blis,gemma-3-it-4B,Q8_0,static,large,10,5,606,149,310.7401534653465,64.22515346534654,10569646080
