COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,1,42,8,0,2210.7729999999997,64.287,23786618880
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,2,1,8,41,140.967375,64.373375,23786618880
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,3,1,8,41,138.44625,63.86425,23797760000
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,4,1,8,41,137.89425,64.03225,23801102336
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,5,1,8,41,138.618,64.218,23803330560
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,6,1,8,41,138.175,63.889,23804968960
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,7,1,8,41,137.7525,63.9115,23807918080
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,8,1,8,41,148.228,64.166,23812571136
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,9,1,8,41,138.00225,64.14925,23816830976
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,10,1,8,41,138.176375,64.046375,23817617408
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,1,54,529,0,3090.020037807183,77.80603780718336,23835836416
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,2,1,529,53,159.78997542533082,77.49397542533082,23912644608
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,3,1,529,53,245.5326086956522,79.34860869565217,23907270656
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,4,1,529,53,154.17298676748584,77.90798676748582,23910350848
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,5,1,529,53,241.08359924385633,77.69359924385633,23914020864
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,6,1,529,53,153.67840831758036,77.44340831758035,23918739456
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,7,1,529,53,154.01433648393197,77.58833648393195,23916904448
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,8,1,529,53,154.07235349716444,77.63135349716445,23921295360
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,9,1,529,53,153.30708506616259,77.46208506616257,23918280704
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,10,1,529,53,158.1115293005671,79.92052930056711,23926669312
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,1,178,549,0,10383.174118397086,78.86311839708561,23912513536
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,2,1,502,177,156.9940079681275,78.85600796812749,24013373440
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,3,1,502,177,158.0137888446215,79.00778884462152,24111611904
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,4,1,502,177,157.09917529880477,79.38617529880479,24126423040
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,5,1,502,177,187.10162749003985,78.90762749003984,24117641216
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,6,1,502,177,157.3456035856574,78.93060358565737,24116002816
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,7,1,502,177,160.5876593625498,80.9446593625498,24118951936
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,8,1,502,177,158.83197609561753,79.68497609561753,24124784640
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,9,1,502,177,160.3302111553785,80.29921115537849,24124129280
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,10,1,502,177,251.43448804780877,79.84248804780876,24122097664
