COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,1,42,8,0,970.9968749999999,70.687875,28308865024
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,2,1,8,41,157.2105,70.4255,28306309120
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,3,1,8,41,151.409,70.406,28313649152
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,4,1,8,41,151.459,70.508,28315090944
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,5,1,8,41,166.37025,70.60825,28315484160
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,6,1,8,41,156.436875,70.427875,28330688512
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,7,1,8,41,152.73225,71.13225,28329246720
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,8,1,8,41,152.999,70.497,28341436416
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,9,1,8,41,223.12425000000002,70.45825,28338290688
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,10,1,8,41,169.75475,71.25975,28342353920
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,1,54,551,0,1166.543056261343,85.55505626134301,28290514944
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,2,1,1037,53,173.1909344262295,88.2649344262295,28375056384
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,3,1,596,53,170.97199832214764,85.89299832214765,28525264896
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,4,1,535,53,171.4179140186916,85.59091401869159,28616359936
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,5,1,526,53,170.30163307984793,85.53563307984791,28695396352
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,6,1,852,53,247.3437863849765,86.52778638497652,28772663296
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,7,1,626,53,184.38625239616613,86.34225239616613,28897116160
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,8,1,580,53,170.6862672413793,85.8212672413793,28984672256
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,9,1,527,53,251.90454079696394,84.99254079696395,29070917632
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,10,1,690,53,170.04173333333335,85.91573333333334,29152051200
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,1,178,530,0,4802.794450943396,86.52745094339622,28426174464
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,2,1,577,177,173.59336048526865,86.81236048526864,28515368960
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,3,1,448,177,369.17887723214284,88.22887723214285,28594339840
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,4,1,421,177,262.3639501187648,86.97895011876484,28665053184
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,5,1,492,177,174.8335467479675,87.32854674796748,28748808192
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,6,1,395,177,172.95722531645572,86.6642253164557,28829089792
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,7,1,509,177,186.83106483300588,87.2590648330059,28916383744
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,8,1,445,177,173.34690561797754,86.88390561797753,29007544320
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,9,1,412,177,173.06093932038834,86.40293932038834,29086515200
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,10,1,503,177,176.57941749502982,88.51641749502983,29173153792
