COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,1,42,8,0,964.2396249999999,71.160625,28323872768
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,2,1,8,41,153.28175,71.08175,28313976832
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,3,1,8,41,167.97725,71.00025,28320137216
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,4,1,8,41,153.27,71.001,28321710080
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,5,1,8,41,153.1555,70.9395,28324528128
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,6,1,8,41,152.91750000000002,71.4495,28327018496
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,7,1,8,41,162.72924999999998,79.04025,28328001536
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,8,1,8,41,153.01225,71.11425,28343140352
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,9,1,8,41,153.70299999999997,71.002,28339929088
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,small,10,1,8,41,153.35275000000001,71.46575,28339142656
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,1,54,673,0,1152.7729806835068,86.08298068350668,28337963008
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,2,1,673,53,349.3542971768202,87.02629717682021,28420472832
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,3,1,673,53,174.8847028231798,86.18770282317979,28422504448
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,4,1,673,53,170.53712184249628,86.09312184249629,28435611648
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,5,1,673,53,171.4049791976226,86.25097919762258,28436725760
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,6,1,673,53,171.41263893016344,85.91063893016344,28434825216
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,7,1,673,53,170.66367904903416,86.40567904903418,28439805952
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,8,1,673,53,175.01793164933133,86.24993164933134,28445704192
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,9,1,673,53,169.70204606240713,85.45904606240714,28432859136
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,medium,10,1,673,53,170.24392124814264,85.63192124814265,28443869184
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,1,178,412,0,4850.615097087379,85.40209708737864,28437577728
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,2,1,484,177,172.04820247933884,85.83420247933884,28536078336
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,3,1,484,177,189.6145123966942,87.61451239669421,28588507136
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,4,1,484,177,171.69944214876034,85.91844214876032,28581953536
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,5,1,484,177,171.03789256198348,85.89989256198348,28580380672
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,6,1,484,177,172.20953925619835,85.79053925619834,28583395328
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,7,1,484,177,173.05706404958678,85.99406404958678,28584116224
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,8,1,484,177,170.6907479338843,85.57074793388429,28579659776
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,9,1,484,177,171.15726859504133,85.47526859504131,28580511744
build-clang-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,static,large,10,1,484,177,175.12321280991733,86.93021280991735,28580249600
