COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,small,1,37,51,0,188.78133333333335,10.471333333333334,2741698560
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,small,2,1,51,36,31.107039215686275,9.633039215686274,2762014720
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,small,3,1,51,36,52.783529411764704,11.140529411764707,2766733312
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,small,4,1,51,36,44.68194117647059,9.276941176470588,2771386368
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,small,5,1,51,36,18.2281568627451,9.036156862745099,2779643904
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,small,6,1,51,36,18.286313725490196,8.997313725490196,2784296960
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,small,7,1,51,36,18.193078431372548,8.99207843137255,2782461952
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,small,8,1,51,36,47.26092156862745,14.758921568627452,2785214464
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,small,9,1,51,36,18.308882352941175,9.015882352941176,2788032512
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,small,10,1,51,36,18.141431372549018,9.005431372549019,2792554496
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,medium,1,48,525,0,322.90357142857147,10.252571428571429,2784362496
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,medium,2,1,525,47,21.338801904761905,10.149801904761905,2798125056
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,medium,3,1,525,47,21.311634285714284,10.024634285714285,2799632384
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,medium,4,1,525,47,21.272175238095237,10.018175238095239,2804219904
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,medium,5,1,525,47,21.459407619047617,10.186407619047618,2808479744
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,medium,6,1,525,47,21.265811428571425,10.017811428571427,2810380288
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,medium,7,1,525,47,21.131881904761904,10.039881904761906,2810183680
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,medium,8,1,525,47,21.33555238095238,10.170552380952381,2814246912
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,medium,9,1,525,47,22.591649523809522,10.032649523809523,2812280832
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,medium,10,1,525,47,21.370158095238093,10.125158095238094,2816606208
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,large,1,178,378,0,1255.9284444444445,9.637444444444444,2809331712
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,large,2,1,246,177,34.32455691056911,9.759556910569106,2824339456
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,large,3,1,246,177,21.382447154471546,9.625447154471546,2835742720
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,large,4,1,246,177,53.472325203252026,11.175325203252033,2840133632
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,large,5,1,246,177,53.22157723577236,10.062577235772357,2846883840
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,large,6,1,246,177,52.79662601626016,10.091626016260163,2854879232
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,large,7,1,246,177,21.699256097560976,9.916256097560975,2852519936
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,large,8,1,246,177,21.31679268292683,9.63079268292683,2852257792
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,large,9,1,246,177,21.33070325203252,9.649703252032522,2852454400
build-clang-cpu,SmolLM2-135M-Instruct,Q4_K_M,static,large,10,1,246,177,21.917813008130082,10.19381300813008,2856255488
