COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,small,1,37,258,0,243.9168953488372,21.07389534883721,2793078784
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,small,2,1,26,36,17.726807692307695,7.849807692307692,2803302400
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,small,3,1,202,36,31.799460396039603,9.111460396039604,2806448128
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,small,4,1,88,36,16.604829545454542,8.158829545454545,2822111232
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,small,5,1,127,36,29.77292125984252,8.62392125984252,2823553024
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,small,6,1,8,36,15.350375,6.960375,2839412736
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,small,7,1,8,36,15.159375,6.989375,2845048832
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,small,8,1,78,36,16.194435897435895,8.143435897435896,2852454400
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,small,9,1,8,36,15.293624999999999,7.013625,2857566208
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,small,10,1,8,36,15.362625000000001,7.046625,2853044224
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,1,48,337,0,211.23812759643917,12.872127596439169,2844327936
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,2,1,332,47,18.19254518072289,8.577545180722892,2856517632
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,3,1,524,47,47.089818702290074,8.801818702290078,2859663360
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,4,1,343,47,18.21458309037901,8.54658309037901,2873032704
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,5,1,467,47,18.417813704496787,8.758813704496788,2883780608
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,6,1,360,47,30.28783333333333,8.567833333333333,2897084416
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,7,1,521,47,45.918387715930905,8.771387715930903,2906390528
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,8,1,384,47,18.44153125,8.68853125,2926772224
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,9,1,369,47,46.025379403794034,8.667379403794039,2935226368
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,10,1,382,47,18.47109162303665,8.56109162303665,2944466944
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,large,1,178,511,0,722.3292720156556,8.782272015655577,2860253184
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,large,2,1,448,177,19.930977678571427,8.900977678571428,2881355776
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,large,3,1,549,177,19.78234061930783,8.797340619307832,2897608704
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,large,4,1,318,177,20.271619496855344,8.691619496855346,2916089856
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,large,5,1,498,177,47.44361646586346,9.745616465863455,2930049024
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,large,6,1,402,177,20.992243781094526,9.434243781094526,2944663552
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,large,7,1,322,177,32.57587577639752,9.511875776397515,2959736832
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,large,8,1,431,177,20.79085150812065,9.41785150812065,2974547968
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,large,9,1,335,177,21.119176119402987,9.631176119402985,2989817856
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,dynamic,large,10,1,551,177,21.140018148820324,9.588018148820327,3003252736
