COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,small,1,37,258,0,149.631507751938,17.255507751937987,2769682432
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,small,2,1,258,36,18.82646899224806,8.717468992248062,2784624640
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,small,3,1,258,36,18.78252713178295,8.977527131782947,2795307008
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,small,4,1,258,36,19.13889534883721,8.723895348837209,2797666304
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,small,5,1,258,36,18.45917054263566,8.69917054263566,2804088832
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,small,6,1,258,36,50.40937984496124,9.73137984496124,2809266176
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,small,7,1,258,36,18.933201550387597,8.989201550387596,2810183680
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,small,8,1,258,36,18.92727906976744,8.98727906976744,2813198336
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,small,9,1,258,36,19.229027131782946,9.250027131782947,2816671744
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,small,10,1,258,36,18.947162790697675,9.004162790697675,2820931584
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,medium,1,48,403,0,243.27215136476426,15.589151364764268,2814771200
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,medium,2,1,403,47,19.631669975186107,9.188669975186105,2831089664
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,medium,3,1,403,47,19.65162034739454,9.336620347394541,2835283968
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,medium,4,1,403,47,19.46074441687345,9.20474441687345,2836332544
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,medium,5,1,403,47,31.522275434243177,9.673275434243177,2844393472
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,medium,6,1,403,47,31.34709429280397,10.06809429280397,2850422784
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,medium,7,1,403,47,19.581749379652607,9.231749379652605,2851930112
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,medium,8,1,403,47,21.41272952853598,9.23872952853598,2852257792
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,medium,9,1,403,47,19.887352357320097,9.436352357320098,2854748160
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,medium,10,1,403,47,19.825816377171215,9.390816377171216,2857435136
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,large,1,178,328,0,695.754856707317,8.955856707317073,2848653312
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,large,2,1,376,177,20.024611702127658,8.961611702127659,2863529984
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,large,3,1,376,177,47.627973404255314,9.16097340425532,2877227008
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,large,4,1,376,177,20.822393617021277,9.184393617021277,2880176128
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,large,5,1,376,177,51.943204787234045,9.478204787234041,2884042752
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,large,6,1,376,177,50.18173936170213,9.148739361702127,2887647232
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,large,7,1,376,177,31.327255319148932,8.988255319148935,2887974912
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,large,8,1,376,177,20.79690425531915,9.325904255319148,2892627968
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,large,9,1,376,177,20.074125000000002,8.974125,2891907072
build-clang-cpu,SmolLM2-135M-Instruct,Q8_0,static,large,10,1,376,177,20.45329255319149,8.99829255319149,2895839232
