COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,small,1,16,31,0,467.1173225806452,47.910322580645165,8309964800
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,small,2,16,30,0,457.79943333333335,47.77543333333333,8317566976
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,small,3,16,39,0,535.6310256410256,48.15702564102564,8330739712
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,small,4,16,31,0,457.476935483871,47.82393548387096,8342405120
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,small,5,16,31,0,457.5974838709677,47.83948387096774,8347844608
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,small,6,16,39,0,508.7401538461538,48.201153846153844,8360624128
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,small,7,16,42,0,464.3289285714286,48.42292857142857,8367702016
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,small,8,16,24,0,457.86375000000004,47.24675,8378253312
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,small,9,16,31,0,458.25858064516126,47.73358064516129,8390967296
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,small,10,16,31,0,459.1797741935484,47.824774193548386,8393261056
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,medium,1,27,1046,0,740.2825554493307,52.700555449330786,8342142976
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,medium,2,27,1022,0,708.7530322896282,53.79303228962818,8507817984
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,medium,3,27,1084,0,707.9293090405904,52.877309040590404,8648654848
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,medium,4,27,1004,0,705.848079681275,51.268079681274905,8813150208
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,medium,5,27,1086,0,706.6885745856354,51.601574585635355,8966569984
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,medium,6,27,1005,0,707.7243890547263,51.508389054726365,9138208768
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,medium,7,27,859,0,704.3253317811408,50.94433178114086,9275834368
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,medium,8,27,1017,0,775.7356037364798,52.68260373647984,9397075968
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,medium,9,27,1008,0,705.1672857142856,51.680285714285716,9533456384
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,medium,10,27,986,0,706.1789543610548,51.82395436105477,9678094336
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,large,1,154,541,0,5688.861330868761,52.72933086876155,8459911168
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,large,2,5,724,149,230.4167596685083,52.86475966850829,8588230656
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,large,3,5,594,149,232.12844781144778,53.226447811447805,8732082176
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,large,4,5,486,149,231.30468312757202,52.79968312757202,8861974528
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,large,5,5,549,149,233.49778506375227,54.92178506375228,8972992512
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,large,6,5,566,149,231.77385865724384,52.90885865724382,9089384448
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,large,7,5,587,149,234.83047359454855,52.947473594548555,9212002304
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,large,8,5,524,149,231.70635305343512,52.831353053435116,9328197632
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,large,9,5,481,149,252.9541663201663,52.96216632016632,9438101504
build-clang-cpu,gemma-3-it-4B,Q4_K_M,dynamic,large,10,5,526,149,230.89534980988594,52.87234980988593,9543024640
