COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,small,1,16,31,0,502.5937096774193,47.91470967741935,8252948480
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,small,2,16,31,0,459.21780645161294,47.8798064516129,8258453504
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,small,3,16,31,0,457.64535483870964,47.85635483870968,8264089600
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,small,4,16,31,0,459.3354838709677,48.08248387096774,8270905344
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,small,5,16,31,0,459.12467741935484,48.80167741935484,8283029504
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,small,6,16,31,0,463.1339032258064,47.83990322580645,8290435072
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,small,7,16,31,0,459.8808064516129,50.6288064516129,8290304000
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,small,8,16,31,0,563.5807096774193,48.07970967741935,8302559232
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,small,9,16,31,0,458.6588064516129,47.8948064516129,8307474432
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,small,10,16,31,0,488.7201935483871,46.747193548387095,8311668736
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,medium,1,27,824,0,766.1818519417476,51.257851941747575,8290500608
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,medium,2,27,824,0,703.0947609223301,51.6977609223301,8415019008
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,medium,3,27,824,0,708.277322815534,54.195322815533984,8426160128
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,medium,4,27,824,0,703.1092099514564,50.999209951456315,8434155520
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,medium,5,27,824,0,701.9378604368932,51.05786043689321,8433238016
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,medium,6,27,824,0,702.5279417475729,51.153941747572816,8445755392
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,medium,7,27,824,0,701.9171383495145,51.32113834951456,8455454720
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,medium,8,27,824,0,704.5157936893204,50.83179368932039,8451719168
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,medium,9,27,824,0,708.9847754854369,50.85177548543689,8455585792
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,medium,10,27,824,0,703.8618094660194,52.47080946601942,8461746176
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,large,1,154,660,0,5735.499813636364,52.958813636363644,8395358208
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,large,2,5,612,149,230.00988562091501,52.94088562091503,8531804160
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,large,3,5,612,149,230.7412859477124,53.00228594771242,8664252416
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,large,4,5,612,149,228.83375816993464,52.911758169934636,8673689600
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,large,5,5,612,149,269.88366503267974,52.738665032679734,8677818368
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,large,6,5,612,149,234.95558006535947,52.93358006535947,8682340352
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,large,7,5,612,149,231.67688235294116,52.997882352941176,8683061248
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,large,8,5,612,149,231.67519444444443,54.89019444444444,8691187712
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,large,9,5,612,149,231.13139052287582,53.01639052287582,8690597888
build-clang-cpu,gemma-3-it-4B,Q4_K_M,static,large,10,5,612,149,230.1399950980392,52.83399509803921,8689614848
