COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,small,1,16,33,0,298.4761515151515,58.63915151515152,10071113728
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,small,2,16,40,0,279.079425,59.103425,10080944128
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,small,3,16,21,0,276.01861904761904,57.567619047619054,10097786880
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,small,4,16,21,0,276.63228571428573,57.48328571428571,10117709824
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,small,5,16,39,0,381.81189743589744,58.90489743589744,10116202496
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,small,6,16,21,0,277.40190476190475,57.69790476190476,10128850944
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,small,7,16,39,0,291.395641025641,60.514641025641026,10139795456
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,small,8,16,22,0,279.1123181818182,57.85031818181819,10140975104
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,small,9,16,21,0,276.49885714285716,57.49285714285714,10149625856
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,small,10,16,21,0,278.11266666666666,57.57566666666666,10150608896
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,1,27,1031,0,620.3565838991271,63.07958389912706,10134880256
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,2,27,1030,0,384.4653174757281,63.36331747572815,10284040192
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,3,27,1085,0,384.4669207373272,62.61092073732719,10439557120
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,4,27,943,0,384.6344761399788,62.8924761399788,10616176640
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,5,27,1024,0,386.69001953125,62.47901953125,10757144576
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,6,27,1027,0,384.6228373904577,62.10383739045765,10898702336
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,7,27,1026,0,384.06103411306043,63.304034113060425,11051794432
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,8,27,1133,0,386.74495322153575,62.845953221535744,11202789376
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,9,27,902,0,384.4121374722838,62.09413747228381,11365646336
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,10,27,1060,0,383.8823537735849,62.2343537735849,11500322816
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,large,1,154,763,0,3820.4123525557015,64.13235255570117,10248060928
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,large,2,5,681,149,204.60895888399412,62.447958883994126,10394337280
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,large,3,5,533,149,205.4179943714822,62.194994371482174,10536943616
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,large,4,5,518,149,217.6294942084942,62.80849420849421,10654973952
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,large,5,5,537,149,204.41917132216014,62.179171322160144,10767171584
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,large,6,5,617,149,205.29878444084278,62.784784440842785,10897522688
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,large,7,5,549,149,218.90812568306012,62.896125683060106,11018698752
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,large,8,5,707,149,204.77368458274398,62.16768458274399,11135287296
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,large,9,5,472,149,205.2031970338983,62.0431970338983,11277107200
build-clang-cpu,gemma-3-it-4B,Q8_0,dynamic,large,10,5,490,149,205.31732857142856,64.04432857142858,11385044992
