COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-cpu,gemma-3-it-4B,Q8_0,static,small,1,16,33,0,356.11109090909093,62.421090909090914,10015473664
build-clang-cpu,gemma-3-it-4B,Q8_0,static,small,2,16,33,0,279.7673636363636,58.43036363636364,10023927808
build-clang-cpu,gemma-3-it-4B,Q8_0,static,small,3,16,33,0,277.99203030303033,58.5910303030303,10027728896
build-clang-cpu,gemma-3-it-4B,Q8_0,static,small,4,16,33,0,286.0862121212121,58.54721212121212,10027991040
build-clang-cpu,gemma-3-it-4B,Q8_0,static,small,5,16,33,0,277.4201212121212,58.46812121212122,10029170688
build-clang-cpu,gemma-3-it-4B,Q8_0,static,small,6,16,33,0,278.26403030303027,58.5570303030303,10029694976
build-clang-cpu,gemma-3-it-4B,Q8_0,static,small,7,16,33,0,276.4887878787879,58.44678787878787,10033430528
build-clang-cpu,gemma-3-it-4B,Q8_0,static,small,8,16,33,0,278.58639393939393,60.05239393939394,10038476800
build-clang-cpu,gemma-3-it-4B,Q8_0,static,small,9,16,33,0,278.9686363636364,58.657636363636364,10044047360
build-clang-cpu,gemma-3-it-4B,Q8_0,static,small,10,16,33,0,276.73648484848485,58.45548484848484,10046210048
build-clang-cpu,gemma-3-it-4B,Q8_0,static,medium,1,27,990,0,621.7448383838384,64.92483838383838,10039459840
build-clang-cpu,gemma-3-it-4B,Q8_0,static,medium,2,27,990,0,394.75557575757574,65.86057575757576,10189996032
build-clang-cpu,gemma-3-it-4B,Q8_0,static,medium,3,27,990,0,394.8285111111111,64.87151111111112,10199957504
build-clang-cpu,gemma-3-it-4B,Q8_0,static,medium,4,27,990,0,449.8968777777778,64.56487777777778,10219290624
build-clang-cpu,gemma-3-it-4B,Q8_0,static,medium,5,27,990,0,394.23685555555556,64.26685555555555,10215292928
build-clang-cpu,gemma-3-it-4B,Q8_0,static,medium,6,27,990,0,389.8615696969697,64.0585696969697,10225319936
build-clang-cpu,gemma-3-it-4B,Q8_0,static,medium,7,27,990,0,391.1973292929293,65.00532929292929,10223943680
build-clang-cpu,gemma-3-it-4B,Q8_0,static,medium,8,27,990,0,391.6649636363636,64.33596363636363,10229645312
build-clang-cpu,gemma-3-it-4B,Q8_0,static,medium,9,27,990,0,400.7207484848485,64.39674848484849,10228400128
build-clang-cpu,gemma-3-it-4B,Q8_0,static,medium,10,27,990,0,391.45418585858584,64.17518585858586,10231283712
build-clang-cpu,gemma-3-it-4B,Q8_0,static,large,1,154,489,0,3859.40463803681,64.18163803680982,10144841728
build-clang-cpu,gemma-3-it-4B,Q8_0,static,large,2,5,630,149,211.1789888888889,65.7679888888889,10267394048
build-clang-cpu,gemma-3-it-4B,Q8_0,static,large,3,5,630,149,270.2540142857143,63.08201428571429,10397876224
build-clang-cpu,gemma-3-it-4B,Q8_0,static,large,4,5,630,149,205.10079523809523,62.930795238095236,10402201600
build-clang-cpu,gemma-3-it-4B,Q8_0,static,large,5,5,630,149,205.78886031746032,62.878860317460315,10400759808
build-clang-cpu,gemma-3-it-4B,Q8_0,static,large,6,5,630,149,205.95700634920632,63.018006349206345,10408034304
build-clang-cpu,gemma-3-it-4B,Q8_0,static,large,7,5,630,149,206.17879206349207,62.70979206349207,10407968768
build-clang-cpu,gemma-3-it-4B,Q8_0,static,large,8,5,630,149,205.59044285714285,62.587442857142854,10421927936
build-clang-cpu,gemma-3-it-4B,Q8_0,static,large,9,5,630,149,206.79591746031744,63.81591746031746,10427236352
build-clang-cpu,gemma-3-it-4B,Q8_0,static,large,10,5,630,149,205.2663365079365,62.8813365079365,10427170816
