COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,1,42,8,0,6384.63875,63.31575,25618284544
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,2,1,8,41,144.5645,63.1195,25635192832
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,3,1,8,41,157.25275,84.65575,25650069504
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,4,1,8,41,161.07962500000002,87.929625,25654394880
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,5,1,8,41,135.897375,63.161375,25653280768
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,6,1,8,41,136.372375,63.957375,25653673984
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,7,1,8,41,136.386125,63.113125,25653280768
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,8,1,8,41,136.512,63.135,25654788096
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,9,1,8,41,136.29112500000002,63.010125,25653608448
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,10,1,8,41,135.466,62.944,25651707904
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,1,54,607,0,6505.905042833609,109.09504283360792,25687228416
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,2,1,934,53,162.5906188436831,87.70961884368309,25789464576
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,3,1,605,53,164.07514049586777,88.91214049586777,25919160320
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,4,1,535,53,167.95383177570093,92.73983177570094,26018316288
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,5,1,515,53,159.22061941747575,84.21461941747573,26095583232
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,6,1,553,53,151.01957685352622,75.92157685352622,26169769984
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,7,1,829,53,161.23457177322075,86.32757177322075,26251362304
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,8,1,617,53,156.53352836304703,80.79452836304701,26364542976
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,9,1,654,53,176.6375397553517,100.8485397553517,26450264064
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,10,1,481,53,159.90912058212058,84.87512058212057,26559381504
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,1,178,412,0,11174.99638592233,87.2433859223301,25794379776
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,2,1,516,177,247.38952325581397,79.97252325581395,25864568832
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,3,1,483,177,335.9982939958592,107.31129399585922,25942097920
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,4,1,422,177,603.6064194312796,89.48441943127963,26023690240
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,5,1,375,177,162.58337866666668,85.68337866666667,26099580928
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,6,1,585,177,167.9522888888889,91.32128888888889,26166034432
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,7,1,458,177,158.26718558951964,78.43818558951965,26272989184
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,8,1,481,177,167.13394594594592,90.44194594594595,26352156672
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,9,1,405,177,161.02447407407408,84.54347407407408,26441285632
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,10,1,480,177,167.82468958333334,91.03668958333333,26521829376
