COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,1,42,8,0,5908.41725,63.22325,25086263296
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,2,1,8,41,135.510375,63.134375,25089736704
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,3,1,8,41,184.043125,111.843125,25089343488
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,4,1,8,41,136.104625,63.279625,25096355840
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,5,1,8,41,136.244625,63.139625,25097142272
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,6,1,8,41,135.684625,63.139625,25099173888
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,7,1,8,41,136.121125,63.140125,25096355840
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,8,1,8,41,135.91925,63.21725,25094651904
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,9,1,8,41,135.710125,63.106125,25092882432
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,10,1,8,41,136.07712500000002,63.296125,25094062080
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,1,54,529,0,6574.281400756144,82.00140075614367,25132335104
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,2,1,543,53,168.65089686924495,92.31189686924493,25218318336
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,3,1,543,53,167.08141068139963,92.04541068139963,25296306176
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,4,1,543,53,156.38211786372008,80.92711786372008,25297551360
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,5,1,543,53,152.54570534069984,77.66070534069982,25296699392
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,6,1,543,53,156.79123572744015,80.59023572744015,25307971584
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,7,1,543,53,165.8304585635359,89.54245856353592,25315311616
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,8,1,543,53,169.14035543278084,94.75235543278085,25311576064
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,9,1,543,53,164.796167587477,88.55416758747698,25293488128
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,10,1,543,53,160.0777200736648,83.85072007366482,25287917568
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,1,178,411,0,10891.70596350365,86.00196350364963,25240666112
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,2,1,432,177,171.86805787037036,94.95005787037037,25319833600
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,3,1,432,177,193.19822685185184,115.44922685185185,25394937856
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,4,1,432,177,172.48807175925924,96.04607175925925,25391398912
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,5,1,432,177,171.23975462962963,94.93975462962963,25388515328
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,6,1,432,177,172.26231018518519,93.33231018518518,25383141376
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,7,1,432,177,163.14130555555556,86.08530555555555,25379536896
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,8,1,432,177,169.98430555555555,92.88530555555555,25379143680
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,9,1,432,177,163.9244259259259,86.73542592592592,25385369600
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,10,1,432,177,162.05237499999998,85.704375,25387991040
