COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,1,42,8,0,5726.87025,70.72625,28754903040
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,2,1,8,41,151.7665,70.4835,28756541440
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,3,1,8,41,151.60375,70.60275,28749529088
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,4,1,8,41,324.631125,75.467125,28747104256
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,5,1,8,41,152.8105,70.5785,28746711040
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,6,1,8,41,157.63524999999998,76.59625,28744024064
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,7,1,8,41,153.464875,71.827875,28747890688
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,8,1,8,41,151.290875,70.355875,28742123520
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,9,1,8,41,172.40587499999998,76.908875,28742713344
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,10,1,8,41,406.8705,325.2865,28734521344
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,1,54,561,0,6251.9733511586455,97.60335115864528,28717940736
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,2,1,731,53,531.6073474692203,103.77034746922024,28775874560
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,3,1,692,53,175.68975578034681,91.89875578034682,28863758336
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,4,1,563,53,188.14060390763768,104.97260390763766,28972154880
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,5,1,600,53,194.29580666666666,111.10680666666667,29051322368
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,6,1,875,53,186.09593142857142,103.50493142857142,29144055808
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,7,1,554,53,187.76441696750902,104.71641696750902,29264052224
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,8,1,625,53,190.8988464,108.3898464,29350232064
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,9,1,721,53,184.63193758668515,101.41593758668516,29437919232
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,10,1,568,53,198.06252992957747,114.67552992957746,29538385920
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,1,178,446,0,8519.568221973093,98.34822197309417,28803268608
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,2,1,533,177,186.17451594746717,101.51851594746717,28872146944
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,3,1,498,177,343.7105763052209,97.44257630522088,28942401536
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,4,1,408,177,181.35985049019607,96.50985049019607,29014425600
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,5,1,396,177,179.3590505050505,94.5340505050505,29090971648
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,6,1,452,177,174.60382079646018,89.47382079646017,29163454464
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,7,1,616,177,187.8075146103896,103.02851461038962,29244194816
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,8,1,557,177,181.47045062836622,96.70345062836624,29342564352
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,9,1,419,177,182.24834606205252,97.2903460620525,29438377984
build-gcc-blis,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,10,1,427,177,177.96677283372367,93.05977283372366,29529145344
