COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,1,37,8,0,828.9556249999999,8.007625,2840657920
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,2,1,15,36,16.8716,8.1236,2832793600
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,3,1,93,36,21.76112903225806,12.939129032258064,2843869184
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,4,1,8,36,16.519,7.647,2843672576
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,5,1,70,36,17.566214285714288,8.779214285714286,2850226176
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,6,1,8,36,16.387375,7.622375,2857893888
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,7,1,8,36,16.445999999999998,7.689,2861826048
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,8,1,177,36,37.97483615819209,29.170836158192092,2852782080
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,9,1,8,36,16.653875,7.724875,2856910848
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,small,10,1,8,36,16.92175,7.82775,2862284800
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,1,48,434,0,789.5513087557604,9.321308755760368,2870280192
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,2,1,435,47,30.554183908045978,19.782183908045976,2881552384
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,3,1,407,47,22.698154791154792,11.80715479115479,2889154560
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,4,1,536,47,46.006065298507465,35.17506529850746,2906324992
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,5,1,473,47,20.356826638477802,9.381826638477802,2917662720
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,6,1,434,47,20.14766129032258,9.36166129032258,2928410624
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,7,1,491,47,20.52031568228106,9.555315682281059,2940731392
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,8,1,712,47,20.21851825842697,9.373518258426966,2955542528
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,9,1,547,47,20.60190676416819,9.336906764168189,2973302784
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,medium,10,1,437,47,25.023938215102973,14.127938215102974,2988507136
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,1,178,520,0,1535.3618961538461,17.09889615384615,2898853888
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,2,1,415,177,29.116730120481925,17.060730120481928,2914582528
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,3,1,427,177,21.296281030444966,9.466281030444964,2925068288
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,4,1,400,177,24.5531325,12.2971325,2940403712
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,5,1,337,177,22.017062314540055,10.240062314540058,2950037504
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,6,1,466,177,22.696375536480687,10.637375536480686,2960916480
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,7,1,811,177,29.613335388409368,17.21133538840937,2980249600
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,8,1,334,177,21.674508982035928,9.469508982035928,3000696832
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,9,1,331,177,38.40928700906344,26.003287009063442,3015311360
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,dynamic,large,10,1,336,177,23.66724107142857,11.657241071428572,3026059264
