COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,small,1,37,8,0,880.40025,8.03925,2839347200
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,small,2,1,69,36,17.482579710144925,8.712579710144928,2842689536
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,small,3,1,69,36,17.482101449275362,8.683101449275362,2842624000
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,small,4,1,69,36,17.419666666666664,8.706666666666667,2842951680
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,small,5,1,69,36,17.546144927536233,8.701144927536232,2843344896
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,small,6,1,69,36,17.47163768115942,8.69963768115942,2847080448
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,small,7,1,69,36,22.129637681159423,13.23663768115942,2844721152
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,small,8,1,69,36,17.85626086956522,8.702260869565217,2845638656
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,small,9,1,69,36,17.370217391304347,8.691217391304347,2845507584
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,small,10,1,69,36,17.41078260869565,8.699782608695651,2846949376
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,1,48,572,0,960.6415664335664,19.889566433566433,2882142208
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,2,1,873,47,27.34208132875143,16.23808132875143,2894331904
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,3,1,873,47,30.322033218785798,19.210033218785796,2923036672
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,4,1,873,47,36.228226804123715,25.070226804123713,2925133824
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,5,1,873,47,32.775136311569305,21.613136311569303,2925658112
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,6,1,873,47,27.041482245131732,16.01348224513173,2924740608
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,7,1,873,47,35.84206529209622,24.70706529209622,2932801536
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,8,1,873,47,47.891923253150054,36.698923253150056,2933391360
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,9,1,873,47,20.893211912943872,9.672211912943872,2932408320
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,medium,10,1,873,47,22.054497136311568,10.68649713631157,2935029760
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,large,1,178,320,0,1506.0076375,9.4496375,2927820800
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,large,2,1,350,177,23.194274285714286,11.448274285714286,2939748352
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,large,3,1,350,177,27.23475714285714,15.211757142857142,2951675904
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,large,4,1,350,177,57.784,45.994,2952003584
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,large,5,1,350,177,21.27084,9.496839999999999,2949775360
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,large,6,1,350,177,22.019294285714288,9.812294285714286,2951217152
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,large,7,1,350,177,22.25108,10.15508,2949054464
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,large,8,1,350,177,48.87988285714286,37.00788285714286,2949447680
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,large,9,1,350,177,21.14167714285714,9.407677142857143,2948136960
build-gcc-blis,SmolLM2-135M-Instruct,Q8_0,static,large,10,1,350,177,36.55248571428571,24.648485714285712,2948333568
