COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,small,1,16,49,0,591.6568367346939,96.70283673469389,7825784832
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,small,2,16,49,0,625.9619591836736,128.4629591836735,7848132608
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,small,3,16,49,0,546.4082653061224,51.97326530612245,7848460288
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,small,4,16,49,0,545.6003673469388,53.18436734693878,7847936000
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,small,5,16,49,0,558.9118979591836,66.64089795918368,7849246720
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,small,6,16,49,0,545.7054693877551,52.045469387755105,7850033152
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,small,7,16,49,0,562.3309795918367,67.87297959183672,7858225152
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,small,8,16,49,0,575.2153469387755,82.77434693877551,7859339264
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,small,9,16,49,0,548.9227755102041,57.57677551020409,7859208192
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,small,10,16,49,0,544.1603469387755,51.50034693877551,7859142656
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,medium,1,27,866,0,863.8577032332564,63.06570323325635,7869300736
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,medium,2,27,866,0,875.0395750577367,73.07257505773671,8008957952
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,medium,3,27,866,0,854.7375069284064,58.26550692840646,8009678848
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,medium,4,27,866,0,889.7010692840647,86.23606928406467,8030519296
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,medium,5,27,866,0,857.1845461893764,60.078546189376446,8029405184
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,medium,6,27,866,0,862.5124168591224,66.8864168591224,8029143040
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,medium,7,27,866,0,1152.2075300230947,61.98753002309469,8046313472
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,medium,8,27,866,0,858.4993048498845,61.11930484988453,8039956480
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,medium,9,27,866,0,918.0196570438799,80.19065704387991,8045658112
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,medium,10,27,866,0,855.2242713625867,58.154271362586606,8044019712
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,large,1,154,759,0,5539.618135704875,68.05013570487483,8245936128
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,large,2,5,782,149,278.3718017902813,79.34680179028133,8379039744
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,large,3,5,782,149,260.7018874680307,61.282887468030694,8525512704
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,large,4,5,782,149,272.6288925831202,75.6008925831202,8521777152
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,large,5,5,782,149,284.25273017902816,85.44273017902813,8523350016
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,large,6,5,782,149,282.4021854219949,85.15218542199489,8519680000
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,large,7,5,782,149,281.73737340153457,83.96237340153453,8523087872
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,large,8,5,782,149,265.1849219948849,65.21292199488491,8523939840
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,large,9,5,782,149,279.4178734015345,79.43187340153453,8533770240
build-gcc-blis,gemma-3-it-4B,Q3_K_M,static,large,10,5,782,149,264.9015703324808,64.04457033248082,8528920576
