COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,small,1,16,40,0,480.510625,58.091625,8500740096
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,small,2,16,41,0,546.2926829268292,127.53768292682928,8509128704
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,small,3,16,40,0,485.40315,67.55515,8532590592
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,small,4,16,31,0,466.8300967741935,47.49509677419355,8543141888
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,small,5,16,31,0,464.9032903225807,47.82229032258064,8550416384
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,small,6,16,40,0,465.0727,47.9697,8556380160
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,small,7,16,40,0,464.94377499999996,48.096775,8562999296
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,small,8,16,40,0,649.09025,231.27125,8582397952
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,small,9,16,40,0,1936.2969500000002,197.14595,8584298496
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,small,10,16,31,0,465.7474838709677,49.14348387096774,8589672448
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,medium,1,27,1000,0,1985.868141,68.068141,8537243648
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,medium,2,27,1082,0,996.3899195933457,73.12191959334565,8690532352
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,medium,3,27,1054,0,728.9883406072106,56.82534060721063,8845983744
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,medium,4,27,1039,0,752.404479307026,81.919479307026,9015590912
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,medium,5,27,936,0,739.8818472222222,68.95184722222221,9159507968
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,medium,6,27,1006,0,741.9171461232605,70.06814612326043,9299361792
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,medium,7,27,1096,0,764.3975958029197,94.0545958029197,9451864064
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,medium,8,27,1031,0,1742.3354752667312,82.01447526673132,9602531328
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,medium,9,27,1125,0,738.9887111111111,68.8917111111111,9755295744
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,medium,10,27,1055,0,775.9683440758294,63.69834407582938,9913106432
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,large,1,154,488,0,5589.654641393443,58.85364139344262,8898740224
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,large,2,5,513,149,242.61697660818714,66.04997660818714,9014018048
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,large,3,5,660,149,510.80314090909087,72.6511409090909,9117368320
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,large,4,5,583,149,253.40047341337907,77.98547341337908,9242214400
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,large,5,5,610,149,252.96595901639344,77.82395901639345,9368633344
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,large,6,5,577,149,255.4001871750433,79.29418717504332,9490464768
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,large,7,5,566,149,240.3854593639576,62.549459363957595,9608429568
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,large,8,5,554,149,263.31837906137184,88.00337906137185,9720168448
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,large,9,5,538,149,238.64606691449814,63.37306691449814,9846784000
build-gcc-blis,gemma-3-it-4B,Q4_K_M,dynamic,large,10,5,530,149,252.94855471698114,76.49655471698114,9960751104
