COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,1,42,8,0,2541.5645,78.7305,23767875584
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,2,1,8,41,386.46875,96.88875,23782686720
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,3,1,8,41,153.441125,71.551125,23783997440
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,4,1,8,41,153.40825,71.01125,23785635840
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,5,1,8,41,152.907,71.177,23784652800
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,6,1,8,41,152.659875,71.047875,23785570304
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,7,1,8,41,152.74875,70.99175,23784914944
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,8,1,8,41,291.98225,210.38225,23798939648
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,9,1,8,41,515.21975,70.87275,23804772352
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,small,10,1,8,41,152.79375,71.05575,23808704512
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,1,54,484,0,3292.2730247933887,100.01302479338842,23824564224
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,2,1,484,53,194.9885082644628,111.23950826446281,23914807296
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,3,1,484,53,176.0869917355372,92.51099173553719,23914938368
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,4,1,484,53,257.9989648760331,101.12896487603307,23920967680
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,5,1,484,53,182.43074793388428,98.40974793388429,23931912192
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,6,1,484,53,175.52094834710743,91.30694834710744,23940497408
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,7,1,484,53,179.38980578512394,96.07280578512396,23942791168
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,8,1,484,53,180.72627685950414,97.24727685950414,23949475840
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,9,1,484,53,178.27210950413223,94.52810950413223,23946788864
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,medium,10,1,484,53,182.7336776859504,99.08267768595042,23938924544
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,1,178,526,0,12252.354403041825,102.38640304182509,23910481920
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,2,1,616,177,186.2040568181818,99.56505681818182,24012914688
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,3,1,616,177,187.79638311688313,101.87438311688312,24111939584
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,4,1,616,177,181.92008766233766,96.61908766233766,24117379072
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,5,1,616,177,179.9063961038961,94.1853961038961,24117706752
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,6,1,616,177,209.15159577922077,123.56159577922078,24125308928
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,7,1,616,177,176.62998214285716,91.38698214285715,24121049088
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,8,1,616,177,178.61173863636364,93.30973863636363,24121966592
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,9,1,616,177,177.61717857142855,90.79717857142857,24124588032
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q3_K_M,static,large,10,1,616,177,192.39768506493505,106.58768506493506,24115544064
