COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,1,42,8,0,2090.48625,72.99725,24669716480
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,2,1,8,41,179.03162500000002,105.695625,24675418112
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,3,1,8,41,137.3135,63.9535,24681185280
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,4,1,8,41,136.516375,63.426375,24683020288
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,5,1,8,41,136.92362500000002,63.607625,24683544576
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,6,1,8,41,136.877625,63.312625,24686362624
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,7,1,8,41,136.66174999999998,63.42775,24690753536
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,8,1,8,41,136.868125,63.570125,24691343360
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,9,1,8,41,136.44475,63.45975,24692457472
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,small,10,1,8,41,136.437,63.545,24694947840
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,1,54,569,0,2711.5423778558875,83.75037785588752,24757403648
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,2,1,538,53,169.77037360594795,94.41637360594795,24855838720
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,3,1,492,53,164.25311585365853,88.77311585365854,24936054784
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,4,1,710,53,158.47898169014087,83.19898169014085,25015746560
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,5,1,574,53,163.2588536585366,86.8158536585366,25138233344
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,6,1,635,53,177.74436062992126,101.75836062992126,25214844928
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,7,1,810,53,170.70528518518518,95.6412851851852,25307054080
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,8,1,916,53,163.17598362445415,87.82298362445415,25423183872
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,9,1,439,53,157.16225512528473,81.12425512528475,25548750848
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,medium,10,1,615,53,162.93818048780486,87.31818048780487,25621954560
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,1,178,436,0,10432.655302752293,85.77230275229358,24843059200
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,2,1,532,177,165.88993984962406,88.00793984962407,24927862784
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,3,1,428,177,184.2422593457944,107.41125934579439,25029509120
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,4,1,427,177,170.0688337236534,93.1278337236534,25102123008
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,5,1,351,177,174.1260227920228,96.8110227920228,25181814784
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,6,1,516,177,214.82417829457364,93.07817829457363,25250627584
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,7,1,553,177,163.10079204339965,85.93879204339964,25349914624
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,8,1,478,177,180.268050209205,102.66705020920502,25443434496
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,9,1,601,177,188.124074875208,111.06107487520799,25535709184
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q4_K_M,dynamic,large,10,1,560,177,165.11849999999998,87.7835,25634406400
