COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,1,42,8,0,841.9265,88.4115,28249227264
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,2,1,8,41,145.98925,68.03725,28249161728
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,3,1,8,41,146.5855,68.0735,28248244224
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,4,1,8,41,146.8865,68.1055,28253749248
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,5,1,8,41,147.72975,69.28175,28249292800
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,6,1,8,41,146.26299999999998,67.948,28248768512
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,7,1,8,41,146.472875,67.850875,28249161728
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,8,1,8,41,157.32675,79.56075,28253421568
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,9,1,8,41,147.15437500000002,67.997375,28251914240
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,small,10,1,8,41,145.6645,67.8615,28250472448
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,1,54,645,0,1063.160911627907,91.12191162790698,28326625280
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,2,1,618,53,477.5127912621359,119.01479126213593,28404154368
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,3,1,486,53,178.26590534979425,97.64890534979425,28481552384
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,4,1,516,53,187.69192441860466,107.70892441860465,28549382144
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,5,1,733,53,185.74998908594816,104.88498908594816,28639625216
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,6,1,784,53,187.8483392857143,107.93333928571428,28742647808
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,7,1,537,53,549.4301601489758,96.37616014897579,28849340416
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,8,1,558,53,176.01078853046596,95.10978853046595,28924510208
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,9,1,526,53,175.62847338403043,95.59847338403041,29014425600
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,medium,10,1,554,53,174.23574909747293,93.28074909747293,29084876800
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,1,178,415,0,5066.819771084337,90.67777108433735,28385083392
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,2,1,457,177,186.20655579868708,104.81655579868709,28470476800
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,3,1,530,177,372.5977471698113,105.72874716981131,28539944960
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,4,1,481,177,179.89263825363827,98.18463825363825,28617211904
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,5,1,400,177,186.61407250000002,104.90907250000001,28713943040
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,6,1,653,177,194.71706125574272,113.14806125574272,28784656384
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,7,1,495,177,179.24138585858586,97.76838585858586,28897968128
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,8,1,393,177,208.93625954198473,113.10225954198474,28984475648
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,9,1,373,177,183.59010991957103,102.24010991957105,29054861312
build-gcc-cpu,Meta-Llama-3.1-8B-Instruct,Q8_0,dynamic,large,10,1,444,177,176.65949774774776,95.88849774774775,29126033408
