COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,small,1,37,116,0,561.5535603448275,36.844560344827585,2727739392
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,small,2,1,103,36,20.207436893203884,10.137436893203883,2738028544
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,small,3,1,8,36,19.4435,8.8525,2748841984
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,small,4,1,239,36,24.891669456066943,14.986669456066945,2750873600
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,small,5,1,61,36,22.50755737704918,9.938557377049179,2759458816
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,small,6,1,19,36,19.562736842105263,9.463736842105263,2765094912
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,small,7,1,71,36,30.37869014084507,20.41669014084507,2769879040
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,small,8,1,84,36,20.088083333333334,10.015083333333333,2772566016
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,small,9,1,96,36,20.203739583333334,10.037739583333334,2775646208
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,small,10,1,53,36,38.6057358490566,28.597735849056605,2778791936
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,medium,1,48,548,0,126.85405291970802,10.635052919708029,2759262208
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,medium,2,1,415,47,58.41768674698795,46.28268674698795,2784690176
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,medium,3,1,479,47,23.411265135699374,11.367265135699373,2791899136
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,medium,4,1,519,47,22.97881310211946,10.64781310211946,2804940800
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,medium,5,1,596,47,47.14933053691275,34.78733053691275,2821652480
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,medium,6,1,546,47,22.93286263736264,10.641862637362639,2836070400
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,medium,7,1,546,47,25.580710622710622,13.493710622710623,2853240832
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,medium,8,1,488,47,22.93560450819672,10.847604508196723,2867134464
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,medium,9,1,4096,47,34.0567685546875,21.9217685546875,2884829184
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,medium,10,1,434,47,37.06700460829493,23.01800460829493,2980773888
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,large,1,178,633,0,1106.2630521327014,19.74105213270142,2786263040
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,large,2,1,324,177,24.04256172839506,10.66756172839506,2804875264
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,large,3,1,442,177,43.95982805429865,30.995828054298645,2819227648
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,large,4,1,388,177,25.269394329896905,12.269394329896906,2834104320
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,large,5,1,456,177,25.509225877192982,12.387225877192982,2850095104
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,large,6,1,594,177,32.11961447811448,18.998614478114476,2863529984
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,large,7,1,557,177,28.67592459605027,15.047924596050269,2887843840
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,large,8,1,470,177,40.77926808510638,27.77126808510638,2899181568
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,large,9,1,306,177,23.704702614379087,10.712702614379085,2914975744
build-gcc-cpu,SmolLM2-135M-Instruct,Q3_K_M,dynamic,large,10,1,419,177,50.604207637231504,37.543207637231504,2941386752
