COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,small,1,16,49,0,548.7967142857143,51.94871428571429,7855538176
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,small,2,16,32,0,904.936625,51.077625,7859273728
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,small,3,16,37,0,546.0961891891892,51.30718918918919,7871660032
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,small,4,16,51,0,551.3021960784314,58.34219607843138,7879458816
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,small,5,16,39,0,567.8215384615385,74.12553846153847,7893221376
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,small,6,16,45,0,544.7797777777778,51.806777777777775,7898333184
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,small,7,16,34,0,544.3456764705883,51.23867647058824,7907770368
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,small,8,16,36,0,545.4188888888889,51.67588888888889,7913668608
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,small,9,16,42,0,545.8334047619048,51.66840476190476,7919304704
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,small,10,16,46,0,545.3225217391305,51.807521739130436,7926448128
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,medium,1,27,856,0,875.3136191588785,72.58761915887851,7882866688
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,medium,2,27,883,0,873.5915118912798,76.77051189127972,8023506944
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,medium,3,27,980,0,876.4549857142857,70.24698571428571,8156020736
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,medium,4,27,953,0,871.5330503672612,71.19605036726128,8314355712
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,medium,5,27,971,0,871.3988125643666,68.38381256436664,8447918080
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,medium,6,27,854,0,888.1436100702576,65.66961007025762,8598716416
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,medium,7,27,861,0,869.44068757259,73.19168757259001,8710651904
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,medium,8,27,980,0,866.2101397959184,66.14713979591836,8837529600
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,medium,9,27,786,0,874.4008155216285,76.0878155216285,8990031872
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,medium,10,27,898,0,909.7425289532295,70.7235289532294,9105244160
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,large,1,154,657,0,7190.405893455099,91.86889345509893,8010727424
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,large,2,5,548,149,1580.4672883211679,79.39228832116788,8139309056
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,large,3,5,621,149,259.6732624798712,60.475262479871176,8253997056
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,large,4,5,653,149,267.48249770290965,69.17049770290964,8387887104
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,large,5,5,692,149,264.9438815028902,66.57088150289017,8521121792
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,large,6,5,631,149,256.3303771790808,58.41137717908082,8657436672
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,large,7,5,623,149,292.4304285714286,95.08542857142858,8794800128
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,large,8,5,528,149,269.34948295454546,68.95548295454546,8915189760
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,large,9,5,586,149,291.6288822525597,89.46788225255972,9027911680
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,dynamic,large,10,5,517,149,282.16785299806577,84.46185299806577,9149349888
