COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,small,1,16,49,0,548.1974897959184,51.35748979591836,7847280640
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,small,2,16,49,0,546.8247142857143,54.97071428571429,7859404800
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,small,3,16,49,0,545.5348775510204,52.00087755102041,7870611456
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,small,4,16,49,0,557.9558367346939,65.52383673469387,7870808064
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,small,5,16,49,0,552.0301224489796,58.952122448979594,7873560576
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,small,6,16,49,0,545.8468163265306,51.953816326530614,7872708608
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,small,7,16,49,0,548.2736734693877,54.933673469387756,7877951488
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,small,8,16,49,0,546.4277755102041,52.062775510204084,7878279168
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,small,9,16,49,0,545.1814285714286,52.111428571428576,7878606848
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,small,10,16,49,0,636.9557346938775,143.28073469387755,7883915264
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,medium,1,27,866,0,888.953376443418,69.256376443418,7892631552
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,medium,2,27,866,0,1081.7255773672055,82.22957736720554,8033468416
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,medium,3,27,866,0,867.0907875288684,69.85578752886836,8039563264
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,medium,4,27,866,0,878.2368163972286,79.04981639722864,8055619584
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,medium,5,27,866,0,898.5274376443418,64.6924376443418,8053391360
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,medium,6,27,866,0,868.4722124711317,70.74221247113164,8067416064
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,medium,7,27,866,0,868.3110046189377,70.19000461893765,8060207104
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,medium,8,27,866,0,915.7732967667437,79.30229676674365,8057061376
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,medium,9,27,866,0,874.1029907621247,76.79899076212472,8065318912
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,medium,10,27,866,0,859.4883256351039,61.38932563510393,8067874816
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,large,1,154,797,0,7186.988095357591,82.23609535759097,8014659584
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,large,2,5,662,149,268.0447658610272,68.7577658610272,8164343808
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,large,3,5,662,149,261.16956948640484,62.10756948640484,8295743488
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,large,4,5,662,149,275.2579758308157,76.63897583081571,8302952448
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,large,5,5,662,149,258.16127190332327,60.918271903323266,8304590848
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,large,6,5,662,149,272.0082009063444,65.7062009063444,8308719616
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,large,7,5,662,149,273.5937854984894,74.56978549848942,8312979456
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,large,8,5,662,149,278.70564350453174,80.28664350453172,8310554624
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,large,9,5,662,149,268.02860422960725,67.01260422960725,8310620160
build-gcc-cpu,gemma-3-it-4B,Q3_K_M,static,large,10,5,662,149,279.04369788519637,79.40669788519637,8322547712
