COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,small,1,16,33,0,268.7754545454546,57.74945454545455,9897246720
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,small,2,16,40,0,279.309175,72.744175,9907666944
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,small,3,16,21,0,261.675619047619,56.30161904761905,9917759488
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,small,4,16,21,0,262.0780952380952,56.320095238095234,9923264512
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,small,5,16,39,0,263.20656410256413,57.6325641025641,9923395584
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,small,6,16,21,0,263.2451904761905,56.32519047619047,9932111872
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,small,7,16,39,0,279.08497435897436,73.46197435897436,9946726400
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,small,8,16,22,0,289.8682727272727,84.01227272727273,9946398720
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,small,9,16,21,0,1109.3433333333332,84.58233333333334,9953148928
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,small,10,16,21,0,354.1477619047619,56.6167619047619,9951969280
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,1,27,980,0,387.25804489795917,78.98304489795919,9932505088
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,2,27,1088,0,381.15351470588234,80.50651470588235,10083631104
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,3,27,1155,0,380.90959913419914,80.15959913419914,10258022400
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,4,27,955,0,379.5566952879582,79.09369528795813,10423435264
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,5,27,1035,0,379.04764541062804,77.83964541062801,10579738624
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,6,27,997,0,374.96167602808424,72.90067602808425,10711007232
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,7,27,985,0,375.66788730964464,75.25388730964467,10865278976
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,8,27,1100,0,378.90939,77.93539,11005853696
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,9,27,870,0,379.51590229885056,78.37190229885057,11175526400
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,medium,10,27,1078,0,375.3005853432282,73.5665853432282,11298078720
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,large,1,154,661,0,4362.933842662633,76.10584266263237,10069475328
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,large,2,5,684,149,221.462466374269,83.469466374269,10198712320
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,large,3,5,489,149,223.24861554192228,84.24861554192228,10336206848
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,large,4,5,550,149,219.94379090909092,83.0207909090909,10447880192
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,large,5,5,514,149,502.4927684824903,71.82276848249028,10564403200
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,large,6,5,589,149,206.87524108658744,69.04824108658742,10674372608
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,large,7,5,499,149,215.72514629258518,77.10114629258517,10798366720
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,large,8,5,775,149,208.07961419354837,69.15261419354839,10915479552
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,large,9,5,537,149,217.1278659217877,78.73086592178771,11062607872
build-gcc-cpu,gemma-3-it-4B,Q8_0,dynamic,large,10,5,507,149,215.63123274161734,75.77023274161736,11173822464
