COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,small,1,16,33,0,272.0660606060606,60.205060606060606,9922936832
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,small,2,16,33,0,263.0541818181818,57.41918181818182,9936568320
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,small,3,16,33,0,272.3692121212121,67.02621212121211,9938468864
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,small,4,16,33,0,263.818303030303,57.593303030303026,9942990848
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,small,5,16,33,0,263.1888181818182,57.36181818181819,9943973888
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,small,6,16,33,0,263.1547878787879,57.45978787878788,9945350144
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,small,7,16,33,0,269.1821212121212,62.198121212121215,9945546752
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,small,8,16,33,0,294.80045454545456,88.08645454545454,9949675520
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,small,9,16,33,0,286.05884848484845,80.15284848484848,9950068736
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,small,10,16,33,0,264.4928484848485,57.734848484848484,9950330880
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,medium,1,27,1054,0,470.10688425047437,77.21988425047438,9958129664
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,medium,2,27,1054,0,383.0265113851992,82.36451138519925,10125312000
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,medium,3,27,1054,0,380.4217106261859,79.32071062618596,10145824768
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,medium,4,27,1054,0,378.67815654648956,74.56915654648957,10142744576
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,medium,5,27,1054,0,377.9211375711575,77.7211375711575,10147659776
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,medium,6,27,1054,0,381.0696783681214,80.44367836812144,10150019072
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,medium,7,27,1054,0,379.7444430740038,74.9024430740038,10155524096
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,medium,8,27,1054,0,378.3844297912714,77.56342979127135,10150805504
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,medium,9,27,1054,0,380.492954459203,79.52495445920303,10154409984
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,medium,10,27,1054,0,370.9360711574953,71.04007115749526,10154999808
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,large,1,154,493,0,4357.186770791075,68.42377079107506,10084089856
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,large,2,5,620,149,217.87011451612904,79.15711451612903,10194649088
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,large,3,5,620,149,497.44902903225807,66.03202903225807,10321461248
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,large,4,5,620,149,217.7979870967742,79.39198709677419,10326114304
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,large,5,5,620,149,213.03526451612905,75.13526451612904,10323755008
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,large,6,5,620,149,218.2711193548387,78.8961193548387,10321657856
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,large,7,5,620,149,212.73687258064513,72.60887258064515,10320216064
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,large,8,5,620,149,210.9475306451613,72.1915306451613,10332798976
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,large,9,5,620,149,210.9831919354839,73.61419193548387,10330243072
build-gcc-cpu,gemma-3-it-4B,Q8_0,static,large,10,5,620,149,238.81045967741935,100.37645967741935,10339352576
